imu_1,imu_2,imu_3,imu_4,imu_5,imu_6,imu_7,imu_8,imu_9,imu_10,imu_11,flex_start,flex_end,flex_x_interpolated
495770,0.601,0.175,-8.504,-0.072,0.232,-0.141,-98.55,28.35,-90.0,27.5,1517,1.222,1408.228418866805
495824,0.852,0.946,-9.388,0.266,0.113,0.124,-94.95,28.5,-83.7,27.9,1487,1.198,1407.8045090477603
495878,1.231,1.626,-8.612,-0.563,0.343,0.016,-94.95,28.5,-83.7,27.6,1052,0.848,1407.3805992287155
495932,1.592,0.828,-10.233,-0.266,0.833,0.063,-93.15,27.75,-78.15,27.6,1224,0.986,1406.9566894096706
495986,0.91,1.628,-8.844,-0.933,0.72,-0.004,-93.15,27.75,-78.15,27.6,1215,0.979,1406.532779590626
496040,1.458,1.805,-8.698,-0.362,1.009,0.172,-91.2,33.15,-68.7,27.6,1000,0.806,1406.108869771581
496094,1.839,1.417,-12.388,-0.312,0.964,0.572,-91.2,33.15,-68.7,27.7,765,0.616,1405.6849599525362
496148,1.389,4.336,-7.987,-1.151,0.488,0.408,-93.6,29.85,-56.1,27.8,531,0.428,1405.2610501334916
496202,2.588,0.567,-7.695,-1.085,0.171,0.339,-93.6,29.85,-56.1,27.6,309,0.249,1404.8371403144467
496256,3.079,1.626,-8.995,1.4,0.671,0.727,-92.55,29.1,-50.55,27.7,428,0.345,1404.4132304954019
496310,2.217,4.252,-8.626,0.269,0.666,0.647,-92.55,29.1,-50.55,27.7,503,0.405,1403.9893206763572
496364,3.297,2.339,-8.49,-1.303,0.652,0.5,-92.55,29.1,-50.55,27.7,147,0.118,1403.5654108573124
496418,3.603,1.326,-4.99,-0.981,0.455,0.639,-96.6,17.85,-36.0,27.5,110,0.089,1403.1415010382675
496472,5.76,-0.227,-7.915,0.377,0.222,0.912,-96.6,17.85,-36.0,27.9,125,0.101,1402.7175912192229
496526,6.292,2.504,-9.263,1.896,1.188,1.091,-96.6,17.85,-36.0,27.6,131,0.106,1402.293681400178
496580,5.253,4.757,-5.844,-1.576,0.735,0.522,-96.6,17.85,-36.0,27.7,85,0.068,1401.8697715811331
496634,7.439,-0.922,-8.452,-0.226,1.352,0.901,-96.3,-2.85,-16.95,27.8,104,0.084,1401.4458617620885
496688,5.547,-1.923,-9.373,2.143,-0.562,-1.054,-96.3,-2.85,-16.95,27.5,113,0.091,1401.0219519430436
496742,10.056,0.376,-11.164,2.24,-0.117,0.785,-91.35,-13.65,-8.1,27.4,91,0.073,1400.5980421239988
496796,8.875,4.487,-8.236,0.329,1.118,0.334,-91.35,-13.65,-8.1,27.6,111,0.089,1400.1741323049541
496850,7.104,1.214,-8.322,-1.801,1.018,-0.253,-86.7,-18.45,-1.35,27.9,0,0.0,1399.7502224859093
496904,8.195,0.792,-7.769,-0.082,0.296,0.216,-86.7,-18.45,-1.35,27.4,28,0.023,1399.3263126668644
496958,7.776,0.496,-7.029,0.17,-0.06,0.148,-83.1,-19.65,2.55,27.7,2645,2.132,1398.9024028478195
497012,7.223,1.757,-6.455,-0.482,-0.583,-0.314,-85.2,-16.95,1.35,27.6,3115,2.51,1398.478493028775
497066,8.013,1.343,-7.803,0.19,-0.365,-0.151,-85.2,-16.95,1.35,27.5,1014,0.817,1398.05458320973
497120,7.422,1.858,-6.258,-0.831,-0.203,-0.182,-87.9,-15.75,-1.35,27.4,63,0.051,1397.6306733906852
497174,7.228,0.682,-6.218,-0.935,-0.162,-0.178,-87.9,-15.75,-1.35,27.4,37,0.03,1397.2067635716405
497228,6.412,0.227,-4.204,-0.273,-0.438,-0.141,-88.8,-14.1,-5.25,27.8,67,0.054,1396.7828537525957
497282,7.688,0.084,-6.582,0.801,-0.085,-0.019,-88.8,-14.1,-5.25,27.6,88,0.071,1396.3589439335508
497336,6.812,2.284,-5.681,0.372,0.046,0.164,-90.15,-15.0,-6.9,27.5,128,0.103,1395.9350341145062
497390,7.034,1.044,-7.468,-0.065,0.197,-0.007,-90.15,-15.0,-6.9,27.6,128,0.103,1395.5111242954613
497444,5.61,-0.098,-7.582,0.01,-0.088,-0.11,-90.15,-15.0,-6.9,27.4,99,0.08,1395.0872144764164
497498,6.359,1.077,-6.491,0.628,-0.667,-0.058,-90.15,-15.0,-6.9,27.6,115,0.093,1394.6633046573718
497552,8.198,-0.019,-7.839,0.453,-0.596,-0.009,-88.8,-14.4,-8.85,27.6,119,0.096,1394.239394838327
497606,6.857,1.595,-6.512,0.538,0.589,0.097,-88.8,-14.4,-8.85,27.2,367,0.296,1393.815485019282
497660,5.186,0.733,-7.202,0.45,0.123,-0.184,-88.8,-14.4,-8.85,27.6,1653,1.332,1393.3915752002374
497711,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,2165,1.745,1392.9676653811925
497765,7.283,1.188,-7.496,0.203,-0.046,-0.047,-89.25,-11.4,-8.55,27.4,2534,2.042,1392.5437555621477
497819,6.416,0.857,-7.221,-0.508,0.232,-0.028,-89.25,-11.4,-8.55,27.6,318,0.256,1392.119845743103
497870,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,2379,1.917,1391.6959359240582
497921,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,296,0.239,1391.2720261050133
497975,5.993,-0.342,-6.886,-0.008,0.112,0.28,-88.05,-9.45,-9.3,27.6,133,0.107,1390.8481162859684
498026,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,2051,1.653,1390.4242064669238
498077,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,2901,2.338,1390.000296647879
498128,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,1223,0.986,1389.576386828834
498182,6.574,-0.414,-7.338,-0.183,0.143,0.103,-87.75,-12.9,-8.1,27.7,1350,1.088,1389.1524770097894
498236,6.141,0.4,-7.228,0.101,0.064,0.051,-89.25,-12.9,-10.35,27.4,1351,1.089,1388.7285671907446
498290,6.941,0.601,-7.685,-0.157,-0.008,0.131,-89.25,-12.9,-10.35,27.4,1406,1.133,1388.3046573716997
498344,6.469,0.366,-6.337,-0.377,-0.051,-0.087,-88.05,-13.2,-7.05,27.5,1381,1.113,1387.880747552655
498398,6.46,-0.06,-7.137,0.126,0.122,0.043,-87.75,-15.15,-6.75,27.7,1533,1.235,1387.4568377336102
498452,6.203,0.941,-6.663,0.195,-0.136,0.064,-87.75,-15.15,-6.75,27.6,1592,1.283,1387.0329279145653
498506,7.099,0.642,-7.728,-0.049,-0.114,-0.067,-87.3,-14.4,-10.35,27.5,2253,1.816,1386.6090180955207
498560,6.448,0.294,-6.675,-0.108,0.188,-0.072,-87.3,-14.4,-10.35,27.6,3313,2.67,1386.1851082764758
498614,5.976,0.204,-7.187,0.122,-0.167,-0.064,-86.55,-14.1,-9.3,27.7,3566,2.874,1385.761198457431
498668,6.79,0.462,-6.512,0.347,-0.206,-0.051,-86.55,-14.1,-9.3,27.9,3517,2.834,1385.3372886383863
498722,6.792,0.453,-7.702,0.18,0.396,0.201,-86.55,-14.1,-9.3,27.5,3305,2.663,1384.9133788193415
498776,6.721,-0.484,-6.986,0.345,-0.107,-0.145,-86.55,-14.1,-9.3,27.6,3620,2.917,1384.4894690002966
498830,6.462,0.036,-7.039,0.641,-0.27,-0.213,-88.65,-12.3,-8.4,27.6,3833,3.089,1384.065559181252
498884,6.266,-0.225,-7.436,0.284,-0.174,-0.084,-88.65,-12.3,-8.4,27.7,3925,3.163,1383.641649362207
498938,6.244,0.05,-7.508,-0.06,-0.479,-0.007,-88.65,-12.3,-8.4,27.6,3784,3.049,1383.2177395431622
498992,5.911,0.05,-7.618,0.408,-0.518,-0.224,-88.65,-8.4,-13.05,27.5,3872,3.12,1382.7938297241176
499046,5.794,0.074,-7.836,0.737,-0.394,-0.112,-88.65,-8.4,-13.05,27.7,3772,3.04,1382.3699199050727
499100,5.732,-0.555,-7.628,0.649,-0.26,-0.346,-88.65,-8.4,-13.05,27.6,3719,2.997,1381.9460100860279
499154,5.744,-0.52,-7.712,0.837,0.584,-0.19,-88.65,-8.4,-13.05,27.9,3815,3.074,1381.522100266983
499208,5.796,-0.862,-7.815,-0.1,0.161,-0.026,-90.15,-3.45,-13.8,27.4,3771,3.039,1381.0981904479384
499262,5.911,-0.833,-8.124,-0.949,-0.493,0.266,-90.15,-3.45,-13.8,27.6,3789,3.053,1380.6742806288935
499316,9.28,4.185,-7.525,-1.098,1.371,-1.231,-88.95,-6.45,-15.6,27.6,3688,2.972,1380.2503708098486
499370,2.873,-0.955,-6.258,-2.524,1.223,0.058,-88.95,-6.45,-15.6,27.6,3611,2.91,1379.826460990804
499424,5.428,0.232,-8.475,0.997,-1.426,1.007,-88.05,-5.85,-9.6,27.6,3104,2.501,1379.4025511717591
499478,9.064,4.58,-9.052,-0.284,-0.579,-0.239,-88.05,-5.85,-9.6,27.5,2689,2.167,1378.9786413527142
499532,7.288,3.376,-9.246,-2.336,0.523,-0.971,-88.8,-8.25,-21.0,27.9,2354,1.897,1378.5547315336696
499583,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,3095,2.494,1378.1308217146247
499637,4.484,0.828,-6.68,-0.707,-1.313,-0.428,-89.7,3.45,-19.65,27.5,3401,2.741,1377.7069118955799
499691,7.111,3.836,-6.258,-0.185,0.161,0.014,-92.1,9.45,-27.15,27.5,3491,2.813,1377.2830020765352
499745,6.407,3.85,-6.958,-0.411,0.544,-0.751,-92.1,9.45,-27.15,27.6,3035,2.446,1376.8590922574904
499796,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,3225,2.599,1376.4351824384455
499847,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,3065,2.47,1376.0112726194009
499898,0.0,0.0,0.0,0.0,0.0,0.0,-2536.8,2450.1,-3073.2,21.0,3101,2.499,1375.587362800356
499952,3.812,6.39,-9.565,-0.864,1.079,0.56,-93.3,24.15,-26.1,27.7,3053,2.46,1375.1634529813111
500006,5.064,6.685,-4.647,-1.321,-0.071,-1.205,-90.9,31.2,-25.95,27.8,2887,2.327,1374.7395431622663
500060,3.654,5.533,-8.423,-0.612,0.066,-1.196,-90.9,31.2,-25.95,27.4,3029,2.441,1374.3156333432216
500114,2.947,7.065,-5.306,-0.842,-0.921,-1.427,-87.0,48.0,-27.15,27.6,3165,2.551,1373.8917235241768
500168,3.871,5.698,-3.812,-0.409,-0.332,-1.456,-87.0,48.0,-27.15,27.6,2976,2.398,1373.467813705132
500222,-0.048,7.764,-5.636,0.256,-0.343,-0.958,-87.0,48.0,-27.15,27.6,3043,2.452,1373.0439038860873
500276,2.133,8.495,-5.89,-0.324,-1.482,-0.761,-87.0,48.0,-27.15,27.6,3029,2.441,1372.6199940670424
500330,2.595,8.55,-4.961,-1.005,-0.688,-1.393,-71.7,72.0,-44.4,27.5,3415,2.752,1372.1960842479975
500384,0.273,8.212,-4.752,-0.168,-0.115,-1.2,-71.7,72.0,-44.4,27.6,3499,2.82,1371.772174428953
500438,-0.711,8.373,-6.139,-0.97,-0.14,-1.082,-71.7,72.0,-44.4,27.5,3645,2.937,1371.348264609908
500492,-1.197,8.959,-3.689,-1.348,-0.408,-1.172,-46.65,91.05,-43.2,27.8,3624,2.92,1370.9243547908632
500546,-1.422,6.29,-2.308,-1.5,-0.318,-1.454,-46.65,91.05,-43.2,27.8,3694,2.977,1370.5004449718185
500600,-2.042,6.443,-3.508,0.133,0.09,-0.9,-33.15,100.05,-35.1,27.9,3723,3.0,1370.0765351527737
500654,-2.514,7.717,-3.443,0.059,-0.688,-1.556,-33.15,100.05,-35.1,27.6,3744,3.017,1369.6526253337288
500708,-3.304,8.569,-1.264,-0.12,0.263,-0.935,-20.1,102.45,-37.2,27.5,3720,2.998,1369.2287155146842
500762,-5.152,8.023,-2.131,0.056,0.69,-1.226,-20.1,102.45,-37.2,27.2,3749,3.021,1368.8048056956393
500816,-5.598,9.072,-0.124,-1.297,-0.332,-0.704,-9.75,104.85,-33.75,27.5,3803,3.065,1368.3808958765944
500870,-5.025,6.632,-1.231,-0.119,0.644,-1.206,-9.75,104.85,-33.75,27.6,3772,3.04,1367.9569860575498
500924,-2.794,5.873,-1.92,1.424,2.356,-0.525,0.9,105.3,-31.5,27.7,3775,3.042,1367.533076238505
500978,-6.074,7.609,-4.281,-0.744,0.646,-2.797,13.65,102.45,-38.25,27.6,3768,3.036,1367.10916641946
501032,-9.469,4.841,-5.387,-0.744,2.449,-1.142,13.65,102.45,-38.25,27.6,3806,3.067,1366.6852566004154
501086,-8.911,2.547,-4.338,-0.472,-0.401,-1.606,28.8,101.1,-34.05,27.7,3776,3.043,1366.2613467813705
501140,-9.23,2.093,-5.564,-0.772,1.046,0.222,28.8,101.1,-34.05,27.6,3696,2.978,1365.8374369623257
501194,-16.257,2.184,-6.936,-0.692,-3.445,-0.087,27.45,100.8,-28.8,27.4,3707,2.987,1365.4135271432808
501248,-3.036,1.18,-3.433,0.608,-2.272,2.76,27.45,100.8,-28.8,27.2,3647,2.939,1364.9896173242362
501302,-0.895,5.442,-1.381,1.494,1.058,2.889,27.45,100.8,-28.8,27.5,3580,2.885,1364.5657075051913
