493124,0.907,-2.737,-9.318,0.002,-0.005,0.018,-170.400,71.700,-79.800,27.5,1429,1.152
493178,0.991,-2.701,-9.263,0.009,-0.018,0.034,-171.750,71.100,-82.200,27.6,1461,1.177
493232,0.912,-2.756,-9.345,-0.001,-0.007,-0.003,-171.750,71.100,-82.200,27.7,1559,1.256
493286,0.929,-2.777,-9.328,0.032,-0.036,0.103,-170.100,69.300,-81.600,27.8,1723,1.388
493340,0.905,-2.804,-9.345,-0.014,0.027,-0.106,-172.350,71.700,-81.600,27.3,1792,1.444
493394,0.895,-2.768,-9.301,0.008,-0.002,0.029,-172.350,71.700,-81.600,27.5,1512,1.218
493448,0.912,-2.710,-9.299,-0.015,0.022,-0.061,-170.850,71.250,-80.250,27.6,1568,1.264
493502,0.831,-2.792,-9.301,-0.006,0.014,-0.010,-170.850,71.250,-80.250,27.6,1486,1.198
493556,0.936,-2.713,-9.328,-0.011,0.015,-0.026,-170.850,71.250,-80.250,27.6,1432,1.154
493610,1.010,-2.722,-9.337,-0.028,0.044,-0.151,-170.850,71.250,-80.250,27.6,1180,0.951
493664,0.479,-2.602,-9.258,0.014,0.007,-0.039,-170.850,70.500,-80.550,27.7,757,0.610
493718,1.927,-2.746,-10.096,0.293,0.070,-0.121,-170.850,70.500,-80.550,27.7,571,0.460
493772,0.749,-2.801,-9.273,-0.004,0.033,-0.074,-170.850,70.500,-80.550,27.4,224,0.181
493826,1.159,-3.306,-9.258,-0.002,0.102,-0.160,-170.850,70.500,-80.550,27.6,311,0.251
493880,0.790,-2.935,-9.562,-0.081,-0.111,-0.122,-170.550,71.100,-81.150,27.6,272,0.219
493934,1.336,-2.320,-8.868,-0.164,-0.179,-0.013,-170.550,71.100,-81.150,27.6,267,0.215
493988,1.118,-2.330,-9.196,0.024,-0.055,-0.117,-170.550,71.100,-81.150,27.7,467,0.376
494042,0.761,-2.708,-9.457,-0.074,-0.102,-0.077,-169.800,76.950,-86.550,27.5,605,0.488
494096,0.828,-3.627,-9.493,0.008,-0.034,0.106,-169.800,76.950,-86.550,27.8,583,0.470
494150,0.749,-2.591,-9.282,0.004,-0.020,0.004,-170.400,77.400,-88.950,27.7,528,0.425
494204,0.534,-3.093,-9.007,0.142,-0.221,0.107,-170.400,77.400,-88.950,27.9,684,0.551
494258,0.469,-2.715,-9.335,-0.066,-0.133,0.134,-169.500,75.000,-91.350,27.4,710,0.572
494312,0.678,-2.662,-9.474,0.150,-0.042,0.131,-169.500,75.000,-91.350,27.6,88,0.071
494366,0.464,-2.792,-9.359,0.046,0.066,0.041,-170.100,75.600,-95.550,27.6,58,0.047
494420,0.543,-2.763,-9.524,0.186,0.105,0.050,-170.100,75.600,-95.550,27.5,25,0.020
494474,1.104,-2.722,-9.464,-0.110,0.165,0.011,-171.600,70.950,-94.800,27.7,5,0.004
494528,0.769,-2.880,-10.218,-0.382,0.103,0.291,-169.650,70.050,-93.300,27.8,0,0.000
494582,1.815,-2.859,-7.393,-0.288,0.117,0.078,-169.650,70.050,-93.300,27.6,0,0.000
494636,0.563,-3.440,-9.905,-0.329,-0.216,0.110,-163.650,74.700,-94.050,27.6,0,0.000
494690,1.027,-2.444,-9.941,0.013,-0.043,0.307,-163.650,74.700,-94.050,27.8,5,0.004
494744,0.565,-2.054,-9.519,-0.499,0.094,0.083,-161.250,70.650,-97.500,27.5,47,0.038
494798,0.275,-2.729,-10.290,-0.040,0.152,0.215,-161.250,70.650,-97.500,27.4,55,0.044
494852,0.151,-1.171,-10.400,-0.205,-0.056,0.325,-161.250,70.650,-97.500,27.6,86,0.069
494906,0.474,-0.350,-10.063,-0.599,-0.140,0.229,-161.250,70.650,-97.500,27.5,87,0.070
494960,-2.289,1.487,-10.659,-1.096,0.669,0.817,-152.550,58.500,-102.900,27.9,61,0.049
495014,5.940,-5.389,-7.369,-0.382,0.520,1.078,-152.550,58.500,-102.900,27.6,79,0.064
495068,-3.385,2.368,-11.059,-0.220,-0.032,-0.619,-152.550,58.500,-102.900,27.4,115,0.093
495122,0.290,0.278,-9.234,-0.896,-0.334,-0.143,-152.550,58.500,-102.900,27.6,153,0.123
495176,1.882,-1.252,-9.570,-0.886,-0.044,0.151,-138.600,51.000,-96.450,27.6,136,0.110
495230,1.065,0.160,-8.947,-0.102,0.365,0.369,-138.600,51.000,-96.450,27.5,168,0.135
495284,0.450,0.359,-9.649,-0.476,0.126,0.282,-138.600,51.000,-96.450,27.4,328,0.264
495338,1.250,0.412,-9.385,-0.026,-0.176,0.159,-126.000,40.650,-91.500,27.8,567,0.457
495392,1.381,0.230,-10.094,-0.138,0.244,0.288,-126.000,40.650,-91.500,27.5,819,0.660
495446,0.752,1.166,-9.787,-0.092,-0.121,0.117,-121.650,35.250,-88.200,27.6,875,0.705
495500,1.623,0.594,-10.326,-0.090,-0.164,0.042,-121.650,35.250,-88.200,27.4,901,0.726
495554,1.190,1.168,-8.777,-0.193,-0.123,-0.083,-115.200,30.600,-91.950,27.6,1091,0.879
495608,1.034,0.225,-9.905,0.128,-0.149,-0.064,-115.200,30.600,-91.950,27.9,1274,1.027
495662,1.300,0.879,-9.342,-0.038,-0.285,-0.129,-106.500,28.200,-88.800,27.6,1303,1.050
495716,1.508,0.529,-8.665,-0.407,0.048,-0.164,-106.500,28.200,-88.800,27.5,1320,1.064
495770,0.601,0.175,-8.504,-0.072,0.232,-0.141,-98.550,28.350,-90.000,27.5,1517,1.222
495824,0.852,0.946,-9.388,0.266,0.113,0.124,-94.950,28.500,-83.700,27.9,1487,1.198
495878,1.231,1.626,-8.612,-0.563,0.343,0.016,-94.950,28.500,-83.700,27.6,1052,0.848
495932,1.592,0.828,-10.233,-0.266,0.833,0.063,-93.150,27.750,-78.150,27.6,1224,0.986
495986,0.910,1.628,-8.844,-0.933,0.720,-0.004,-93.150,27.750,-78.150,27.6,1215,0.979
496040,1.458,1.805,-8.698,-0.362,1.009,0.172,-91.200,33.150,-68.700,27.6,1000,0.806
496094,1.839,1.417,-12.388,-0.312,0.964,0.572,-91.200,33.150,-68.700,27.7,765,0.616
496148,1.389,4.336,-7.987,-1.151,0.488,0.408,-93.600,29.850,-56.100,27.8,531,0.428
496202,2.588,0.567,-7.695,-1.085,0.171,0.339,-93.600,29.850,-56.100,27.6,309,0.249
496256,3.079,1.626,-8.995,1.400,0.671,0.727,-92.550,29.100,-50.550,27.7,428,0.345
496310,2.217,4.252,-8.626,0.269,0.666,0.647,-92.550,29.100,-50.550,27.7,503,0.405
496364,3.297,2.339,-8.490,-1.303,0.652,0.500,-92.550,29.100,-50.550,27.7,147,0.118
496418,3.603,1.326,-4.990,-0.981,0.455,0.639,-96.600,17.850,-36.000,27.5,110,0.089
496472,5.760,-0.227,-7.915,0.377,0.222,0.912,-96.600,17.850,-36.000,27.9,125,0.101
496526,6.292,2.504,-9.263,1.896,1.188,1.091,-96.600,17.850,-36.000,27.6,131,0.106
496580,5.253,4.757,-5.844,-1.576,0.735,0.522,-96.600,17.850,-36.000,27.7,85,0.068
496634,7.439,-0.922,-8.452,-0.226,1.352,0.901,-96.300,-2.850,-16.950,27.8,104,0.084
496688,5.547,-1.923,-9.373,2.143,-0.562,-1.054,-96.300,-2.850,-16.950,27.5,113,0.091
496742,10.056,0.376,-11.164,2.240,-0.117,0.785,-91.350,-13.650,-8.100,27.4,91,0.073
496796,8.875,4.487,-8.236,0.329,1.118,0.334,-91.350,-13.650,-8.100,27.6,111,0.089
496850,7.104,1.214,-8.322,-1.801,1.018,-0.253,-86.700,-18.450,-1.350,27.9,0,0.000
496904,8.195,0.792,-7.769,-0.082,0.296,0.216,-86.700,-18.450,-1.350,27.4,28,0.023
496958,7.776,0.496,-7.029,0.170,-0.060,0.148,-83.100,-19.650,2.550,27.7,2645,2.132
497012,7.223,1.757,-6.455,-0.482,-0.583,-0.314,-85.200,-16.950,1.350,27.6,3115,2.510
497066,8.013,1.343,-7.803,0.190,-0.365,-0.151,-85.200,-16.950,1.350,27.5,1014,0.817
497120,7.422,1.858,-6.258,-0.831,-0.203,-0.182,-87.900,-15.750,-1.350,27.4,63,0.051
497174,7.228,0.682,-6.218,-0.935,-0.162,-0.178,-87.900,-15.750,-1.350,27.4,37,0.030
497228,6.412,0.227,-4.204,-0.273,-0.438,-0.141,-88.800,-14.100,-5.250,27.8,67,0.054
497282,7.688,0.084,-6.582,0.801,-0.085,-0.019,-88.800,-14.100,-5.250,27.6,88,0.071
497336,6.812,2.284,-5.681,0.372,0.046,0.164,-90.150,-15.000,-6.900,27.5,128,0.103
497390,7.034,1.044,-7.468,-0.065,0.197,-0.007,-90.150,-15.000,-6.900,27.6,128,0.103
497444,5.610,-0.098,-7.582,0.010,-0.088,-0.110,-90.150,-15.000,-6.900,27.4,99,0.080
497498,6.359,1.077,-6.491,0.628,-0.667,-0.058,-90.150,-15.000,-6.900,27.6,115,0.093
497552,8.198,-0.019,-7.839,0.453,-0.596,-0.009,-88.800,-14.400,-8.850,27.6,119,0.096
497606,6.857,1.595,-6.512,0.538,0.589,0.097,-88.800,-14.400,-8.850,27.2,367,0.296
497660,5.186,0.733,-7.202,0.450,0.123,-0.184,-88.800,-14.400,-8.850,27.6,1653,1.332
497711,0.000,0.000,0.000,0.000,0.000,0.000,-2536.800,2450.100,-3073.200,21.0,2165,1.745
